"SampleName","Position","MethodName","MethodPath","SamplePath","DataName","Type","Repeat","Date","PA","I.S.PA","File","ratio","ValuesPositive"
"MeOH Blk",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014001,"Blank",NA,"211014",34120.7942554892,3704482.27911876,"211014001.csv",0.00921067822292458,16.6237169196327
"25 ug/mL Etizolam",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014002,"Cal",NA,"211014",646493.663931885,3435529.59527398,"211014002.csv",0.188178749739552,28.6309941176218
"50ug/mL Etizolam",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014003,"Cal",NA,"211014",1635130.58112556,3260934.47023121,"211014003.csv",0.501430064312094,48.8683113548598
"75ug/mL Etizolam",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014004,"Cal",NA,"211014",2759853.33782012,3188719.99806068,"211014004.csv",0.865505073979092,71.2892384492371
"100ug/mL Etizolam",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014005,"Cal",NA,"211014",4433108.87781161,3386133.70831404,"211014005.csv",1.30919486933635,97.237362232679
"150ug/mL Etizolam",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014006,"Cal",NA,"211014",9365409.79925208,3935607.20585026,"211014006.csv",2.37966070021684,154.832301546976
"250ug/mL Etiolam",13,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014008,"Cal",NA,"211014",13762859.2899874,3137340.93572916,"211014008.csv",4.38679109855452,249.110964417884
"MeOH Blk",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014009,"Blank",NA,"211014",27491.4606062394,2911130.96281028,"211014009.csv",0.00944356710757538,16.6395688354483
"40ug/mL Etizolam Check Standard",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014010,"Sample",NA,"211014",949924.316320776,2884848.44620393,"211014010.csv",0.329280492211211,37.8635767348087
"125ug/mL Etizolam Check Standard",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014011,"Sample",NA,"211014",5850063.18120973,3053309.93688196,"211014011.csv",1.91597423849602,130.658004893308
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014030,"Blank",NA,"211014",17264.8607181762,3346884.13227449,"211014030.csv",0.00515848772644641,16.3478012320591
"FL21/0674-1",23,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014031,"Sample",NA,"211014",29260361.1149347,3433097.08963599,"211014031.csv",8.52302173546661,409.312698630431
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014032,"Blank",NA,"211014",21615.1937844784,3336764.58721993,"211014032.csv",0.00647788994982334,16.4376602551431
"FL21/0522-2",24,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014033,"Sample",NA,"211014",2785641.00007931,3264626.06069764,"211014033.csv",0.853280268026785,70.5538747984985
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014034,"Blank",NA,"211014",3883.37464615304,3048866.3592944,"211014034.csv",0.00127371100878681,16.0831114105476
"FL21/0682",25,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014035,"Sample",NA,"211014",6208287.64919936,3167158.69851335,"211014035.csv",1.96020731519185,133.011756885786
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014036,"Blank",NA,"211014",5863.54882556233,3050168.80754724,"211014036.csv",0.00192236862794405,16.1273196117152
"FL21/0706",26,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014037,"Sample",NA,"211014",11965090.8094088,3278205.42523275,"211014037.csv",3.6498904910937,216.186262898021
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014038,"Blank",NA,"211014",5412.29921039273,3015358.95564711,"211014038.csv",0.00179491042028568,16.1186332799349
"FL21/0599",27,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014039,"Sample",NA,"211014",8989485.45387149,3033662.08257949,"211014039.csv",2.96324547994081,183.82693897452
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014040,"Blank",NA,"211014",5571.30533768813,2916885.45109386,"211014040.csv",0.00191001855612768,16.1264779570077
"FL21/0626",28,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014041,"Sample",NA,"211014",31218261.6291854,2932792.92161237,"211014041.csv",10.6445502507632,480.191134852422
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014042,"Blank",NA,"211014",18114.2774279216,3017958.08432831,"211014042.csv",0.00600216335739904,16.4052627431501
"FL21/0536",29,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014043,"Sample",NA,"211014",45174397.3151699,3021241.08477872,"211014043.csv",14.9522649955882,608.843314007017
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014044,"Blank",NA,"211014",22887.0442310027,3048269.80042909,"211014044.csv",0.00750820817362722,16.5078173550085
"FL21/0618",30,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014045,"Sample",NA,"211014",18346111.3098044,3084927.88763138,"211014045.csv",5.94701463958388,313.799967834638
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014046,"Blank",NA,"211014",11504.5137581214,3006651.9217032,"211014046.csv",0.0038263537175944,16.2570552323119
"FL21/0522-1",31,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014047,"Sample",NA,"211014",1340131.79004003,3135972.19505245,"211014047.csv",0.427341732224005,44.1659038270202
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014048,"Blank",NA,"211014",5392.34688135977,2854567.51026361,"211014048.csv",0.00188902412080694,16.1250471868639
"FL21/0653",32,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014049,"Sample",NA,"211014",-41.7695168555219,2732614.76205023,"211014049.csv",-1.52855490044206e-05,15.9952478774206
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014050,"Blank",NA,"211014",29.1794237727513,2667826.47105742,"211014050.csv",1.09375268928889e-05,15.9970355414208
"FL21/0694",33,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014051,"Sample",NA,"211014",109.983208842464,2569338.53904257,"211014051.csv",4.28060402205494e-05,15.9992080523986
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014052,"Blank",NA,"211014",1076.23746315559,2659385.68419909,"211014052.csv",0.000404694012436828,16.0238775428931
"FL21/0589",34,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014053,"Sample",NA,"211014",840638.095340369,3207127.93947882,"211014053.csv",0.262115547369457,33.4935816691907
"MEOH BLK",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014054,"Blank",NA,"211014",1676.67035972443,2990091.27218104,"211014054.csv",0.000560742200522002,16.0345147142816
"FL21/0604",35,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split.M","D:\MassHunter\GCMS\1\data\Victoria Marland\21Oct",211014055,"Sample",NA,"211014",2224122.79865252,3590835.49372714,"211014055.csv",0.619388663874426,56.2543101839067
